layer_start,layer_end,page_start,page_end,semantic_class,pin,k_precision_name,v_precision_name,residency_tier,promotion_priority,demotion_priority,recompute_priority,authority,case,budget_pct,kv_layout,range_ordinal,used_pages,prompt_pages,recent_start_page,plan_validation_ok,shadowed_layer_page_matches
32,47,1,68,late_layer_payload,0,int8,int8,warm,35,65,50,hard,long_generation_systems,25.0,tmh_fidelity_paged_kv,3,93,45,69,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,early_anchor_long_tail,12.5,tmh_fidelity_paged_kv,0,166,154,145,True,0
0,47,145,165,recent_tail,0,raw,raw,hot,100,0,0,hard,early_anchor_long_tail,12.5,tmh_fidelity_paged_kv,1,166,154,145,True,0
0,31,1,144,prefill_payload,0,int8,int4,warm,25,75,50,hard,early_anchor_long_tail,12.5,tmh_fidelity_paged_kv,2,166,154,145,True,0
32,47,1,144,late_layer_payload,0,int8,int8,warm,35,65,50,hard,early_anchor_long_tail,12.5,tmh_fidelity_paged_kv,3,166,154,145,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,middle_anchor_detour,12.5,tmh_fidelity_paged_kv,0,136,120,119,True,0
0,47,119,135,recent_tail,0,raw,raw,hot,100,0,0,hard,middle_anchor_detour,12.5,tmh_fidelity_paged_kv,1,136,120,119,True,0
0,31,1,118,prefill_payload,0,int8,int4,warm,25,75,50,hard,middle_anchor_detour,12.5,tmh_fidelity_paged_kv,2,136,120,119,True,0
32,47,1,118,late_layer_payload,0,int8,int8,warm,35,65,50,hard,middle_anchor_detour,12.5,tmh_fidelity_paged_kv,3,136,120,119,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,late_anchor_control,12.5,tmh_fidelity_paged_kv,0,90,78,78,True,0
0,47,78,89,recent_tail,0,raw,raw,hot,100,0,0,hard,late_anchor_control,12.5,tmh_fidelity_paged_kv,1,90,78,78,True,0
0,31,1,77,prefill_payload,0,int8,int4,warm,25,75,50,hard,late_anchor_control,12.5,tmh_fidelity_paged_kv,2,90,78,78,True,0
32,47,1,77,late_layer_payload,0,int8,int8,warm,35,65,50,hard,late_anchor_control,12.5,tmh_fidelity_paged_kv,3,90,78,78,True,0
